Filename_1,Filename_2,Similarity_score
BR_Araria_Joyt24015_0522430000_TGKMR_8303.wav,BR_Araria_Joyt24015_0522410000_TGKMR_8303.wav,1.0
BR_Begusara_Sach51565_1408370000_APATGOB_245912.wav,BR_Begusara_Sach51565_1408410000_APATGOB_245912.wav,1.0
BR_Begusara_Sach51565_1408370000_APATGOB_245912.wav,BR_Begusara_Sach51565_1408410000_APATGOB_245912.wav,1.0
KA_Bijapur_19177433_1554080000_IMG_20220912_125107.wav,KA_Bijapur_19177433_1554050000_IMG_20220912_125107.wav,1.0
KA_Bijapur_19177433_1554080000_IMG_20220912_125107.wav,KA_Bijapur_19177433_1554050000_IMG_20220912_125107.wav,1.0
KA_Bijapur_19177433_1545300000_KTBJMOT_139014.wav,KA_Bijapur_19177433_1545140000_KTBJMOT_139014.wav,1.0
KA_Bijapur_19177433_1545300000_KTBJMOT_139014.wav,KA_Bijapur_19177433_1545140000_KTBJMOT_139014.wav,1.0
KA_Bijapur_91011064_1247110000_TGNLGS_51170.wav,KA_Bijapur_91011064_1247070000_TGNLGS_51170.wav,1.0
KA_Bijapur_91011064_1247110000_TGNLGS_51170.wav,KA_Bijapur_91011064_1247070000_TGNLGS_51170.wav,1.0
WB_Purulia_Ranj00953_1719420000_BHGJPA_192350.wav,WB_Purulia_Ranj00953_1720150000_BHGJPA_192350.wav,1.0
WB_Purulia_Ranj00953_1719420000_BHGJPA_192350.wav,WB_Purulia_Ranj00953_1720150000_BHGJPA_192350.wav,1.0
UP_Gorakhpur_Kart60562_1024410000_UPGPGT_37375.wav,UP_Gorakhpur_Kart60562_1024400000_UPGPGT_37375.wav,1.0
UP_Gorakhpur_Kart60562_1024410000_UPGPGT_37375.wav,UP_Gorakhpur_Kart60562_1024400000_UPGPGT_37375.wav,1.0
BR_Gaya_09527738_1432390000_BHGJAUR_186629.wav,BR_Gaya_09527738_1432550000_BHGJAUR_186629.wav,1.0
BR_Gaya_09527738_1432390000_BHGJAUR_186629.wav,BR_Gaya_09527738_1432550000_BHGJAUR_186629.wav,1.0
CG_Bastar_64832910_0912190000_CGBTBR_174130.wav,CG_Bastar_64832910_0912150000_CGBTBR_174130.wav,1.0
CG_Bastar_64832910_0912190000_CGBTBR_174130.wav,CG_Bastar_64832910_0912150000_CGBTBR_174130.wav,1.0
KA_Mysore_13263538_1528540000_UPVNVEM_123211.wav,KA_Mysore_13263538_1528530000_UPVNVEM_123211.wav,1.0
KA_Mysore_13263538_1528540000_UPVNVEM_123211.wav,KA_Mysore_13263538_1528530000_UPVNVEM_123211.wav,1.0
KA_Gulbarga_Kave59279_1158100000_KTGEV_317661.wav,KA_Gulbarga_Kave59279_1158030000_KTGEV_317661.wav,1.0
KA_Gulbarga_Kave59279_1158100000_KTGEV_317661.wav,KA_Gulbarga_Kave59279_1158030000_KTGEV_317661.wav,1.0
