Group_name_size,Byte_size,Number of files,Number of pairs in similarity results,NO. of pairs with similarity score equals 1,NO. of pairs with 0.95 <= similarity score < 1,NO. of pairs with 0.9 <= similarity score < .95,NO. of pairs with 0.8 <= similarity score < .9
group_487616_size_2,487616,2,1,0,0,0,0
group_42574_size_5,42574,5,3,0,0,0,0
group_147756_size_3,147756,3,2,0,0,0,0
group_94290_size_56,94290,56,49,0,0,0,0
group_175430_size_2,175430,2,1,0,0,0,0
group_254934_size_3,254934,3,2,0,0,0,0
group_87826_size_122,87826,122,104,0,0,0,0
group_104904_size_2,104904,2,1,0,0,0,0
group_150106_size_214,150106,214,193,0,0,0,0
group_66834_size_2764,66834,2764,2367,0,0,1,1
group_185484_size_2,185484,2,1,0,0,0,0
group_551686_size_4,551686,4,3,0,0,0,0
group_112592_size_3,112592,3,2,0,0,0,0
group_497596_size_111,497596,111,99,0,0,0,0
group_173650_size_203,173650,203,177,0,0,0,0
group_376012_size_3,376012,3,2,0,0,0,0
group_52978_size_25,52978,25,20,0,0,0,0
group_410322_size_105,410322,105,94,0,0,0,0
group_250494_size_8,250494,8,7,0,0,0,0
group_37834_size_3,37834,3,2,0,0,0,0
group_73952_size_2,73952,2,1,0,0,0,0
group_178346_size_2,178346,2,1,0,0,0,0
group_39738_size_115,39738,115,94,0,0,0,0
group_471858_size_24,471858,24,20,0,0,0,0
group_94264_size_3,94264,3,2,0,0,0,0
group_139794_size_149,139794,149,133,0,0,0,0
group_539480_size_3,539480,3,2,0,0,0,0
group_35602_size_18,35602,18,13,0,0,0,0
group_96112_size_4,96112,4,3,0,0,0,0
group_252000_size_11,252000,11,9,0,0,0,0
group_358236_size_2,358236,2,1,0,0,0,0
group_66610_size_158,66610,158,137,0,0,0,0
group_316986_size_2,316986,2,1,0,0,0,0
group_67748_size_2,67748,2,1,0,0,0,0
group_445330_size_53,445330,53,42,0,0,0,0
group_159552_size_2,159552,2,1,0,0,0,0
group_126240_size_4,126240,4,3,0,0,0,0
group_600188_size_62,600188,62,53,0,0,0,0
group_61116_size_4,61116,4,3,0,0,0,0
group_112728_size_2,112728,2,1,0,0,0,0
group_118378_size_2,118378,2,1,0,0,0,0
