Group_name_size,Byte_size,Number of files,Number of pairs in similarity results,NO. of pairs with similarity score equals 1,NO. of pairs with 0.95 <= similarity score < 1,NO. of pairs with 0.9 <= similarity score < .95,NO. of pairs with 0.8 <= similarity score < .9
group_354450_size_342,354450,342,307,0,0,0,0
group_161262_size_2,161262,2,1,0,0,0,0
group_69310_size_2,69310,2,1,0,0,0,0
group_111752_size_3,111752,3,2,0,0,0,0
group_505106_size_86,505106,86,75,0,0,0,0
group_198754_size_2,198754,2,1,0,0,0,0
group_243732_size_2,243732,2,1,0,0,0,0
group_110490_size_3,110490,3,2,0,0,0,0
group_379522_size_4,379522,4,3,0,0,0,0
group_225148_size_2,225148,2,1,0,0,0,0
group_532072_size_57,532072,57,50,0,0,0,0
group_253020_size_6,253020,6,5,0,0,0,0
group_73706_size_3,73706,3,2,0,0,0,0
group_380914_size_360,380914,360,318,0,0,0,0
group_51286_size_5,51286,5,4,0,0,0,0
group_186656_size_2,186656,2,1,0,0,0,0
group_121036_size_2,121036,2,1,0,0,0,0
group_312130_size_4,312130,4,3,0,0,0,0
group_114096_size_3,114096,3,2,0,0,0,0
group_271782_size_5,271782,5,3,0,0,0,0
group_434962_size_59,434962,59,49,0,0,0,0
group_183378_size_352,183378,352,308,0,0,0,0
group_372274_size_335,372274,335,297,0,0,0,0
group_38290_size_6,38290,6,5,0,0,0,0
group_277336_size_178,277336,178,154,0,0,0,0
group_94714_size_2,94714,2,1,0,0,0,0
group_175678_size_2,175678,2,1,0,0,0,0
group_233776_size_5,233776,5,3,0,0,0,0
group_61048_size_2,61048,2,1,0,0,0,0
group_80074_size_2,80074,2,1,0,0,0,0
group_405790_size_7,405790,7,5,0,0,0,0
group_243794_size_323,243794,323,285,0,0,0,0
group_257840_size_21,257840,21,17,0,0,0,0
group_113318_size_11,113318,11,10,0,0,0,0
group_198146_size_2,198146,2,1,0,0,0,0
group_247740_size_830,247740,830,745,0,0,0,0
group_63250_size_277,63250,277,243,0,0,0,0
group_333864_size_3,333864,3,2,0,0,0,0
group_166438_size_3,166438,3,2,0,0,0,0
group_97224_size_3,97224,3,2,0,0,0,0
group_138630_size_6,138630,6,4,0,0,0,0
group_109718_size_3,109718,3,2,0,0,0,0
group_326258_size_295,326258,295,264,0,0,0,0
group_451570_size_41,451570,41,32,0,0,0,0
group_127182_size_650,127182,650,576,0,0,0,0
group_56134_size_2,56134,2,1,0,0,0,0
group_274828_size_2,274828,2,1,0,0,0,0
group_76640_size_2,76640,2,1,0,0,0,0
group_80742_size_2,80742,2,1,0,0,0,0
group_202686_size_2,202686,2,1,0,0,0,0
group_582984_size_3,582984,3,2,0,0,0,0
group_298162_size_331,298162,331,301,0,0,0,0
group_184272_size_3,184272,3,2,0,0,0,0
group_241670_size_58,241670,58,54,0,0,0,0
group_258034_size_362,258034,362,329,0,0,0,0
group_219218_size_404,219218,404,360,0,0,0,0
group_359474_size_192,359474,192,173,0,0,0,0
group_120242_size_360,120242,360,322,0,0,0,0
group_129304_size_6,129304,6,4,0,0,0,0
group_138650_size_2,138650,2,1,0,0,0,0
group_491890_size_7,491890,7,6,0,0,0,0
group_289332_size_2,289332,2,1,0,0,0,0
group_86728_size_2,86728,2,1,0,0,0,0
group_98522_size_6,98522,6,5,0,0,0,0
group_328146_size_262,328146,262,231,0,0,0,0
group_397874_size_124,397874,124,113,0,0,0,0
group_213788_size_2,213788,2,1,0,0,0,0
group_124530_size_117,124530,117,100,0,0,0,0
group_193898_size_3,193898,3,2,0,0,0,0
group_246482_size_406,246482,406,367,0,0,0,0
group_51142_size_2,51142,2,1,0,0,0,0
group_454248_size_87,454248,87,73,0,0,0,0
group_115126_size_2,115126,2,1,0,0,0,0
group_361394_size_228,361394,228,213,0,0,0,0
group_608530_size_38,608530,38,33,0,0,0,0
group_205758_size_3,205758,3,2,0,0,0,0
group_187226_size_2,187226,2,1,0,0,0,0
group_250288_size_2,250288,2,1,0,0,0,0
group_91712_size_5,91712,5,4,0,0,0,0
group_144394_size_2,144394,2,1,0,0,0,0
group_166344_size_2,166344,2,1,0,0,0,0
group_104446_size_4,104446,4,3,0,0,0,0
group_46096_size_2,46096,2,1,0,0,0,0
group_71790_size_2,71790,2,1,0,0,0,0
group_240326_size_3,240326,3,2,0,0,0,0
group_43910_size_3,43910,3,2,0,0,0,0
group_241438_size_2,241438,2,1,0,0,0,0
group_243386_size_2,243386,2,1,0,0,0,0
group_279602_size_315,279602,315,283,0,0,0,0
group_170898_size_368,170898,368,329,0,0,0,0
group_328306_size_330,328306,330,300,0,0,0,0
group_44306_size_1732,44306,1732,1455,4,0,0,0
group_37946_size_2,37946,2,1,0,0,0,0
group_76628_size_3,76628,3,2,0,0,0,0
group_260786_size_371,260786,371,330,0,0,0,0
group_479188_size_2,479188,2,1,0,0,0,0
group_297584_size_2,297584,2,1,0,0,0,0
group_615382_size_2,615382,2,1,0,0,0,0
group_466802_size_54,466802,54,49,0,0,0,0
group_422098_size_117,422098,117,104,0,0,0,0
group_210004_size_18,210004,18,15,0,0,0,0
group_384690_size_285,384690,285,255,0,0,0,0
group_84832_size_2,84832,2,1,0,0,0,0
group_119924_size_4,119924,4,3,0,0,0,0
group_108560_size_2,108560,2,1,0,0,0,0
group_230968_size_3,230968,3,2,0,0,0,0
group_146704_size_3,146704,3,2,0,0,0,0
group_405606_size_4,405606,4,3,0,0,0,0
group_283614_size_56,283614,56,50,0,0,0,0
group_332748_size_3,332748,3,2,0,0,0,0
group_173646_size_2,173646,2,1,0,0,0,0
group_286994_size_936,286994,936,849,0,0,0,0
group_226866_size_340,226866,340,310,0,0,0,0
group_387306_size_2,387306,2,1,0,0,0,0
group_157552_size_3,157552,3,2,0,0,0,0
group_296174_size_2,296174,2,1,0,0,0,0
group_386098_size_174,386098,174,151,0,0,0,0
group_110436_size_2,110436,2,1,0,0,0,0
group_431480_size_3,431480,3,2,0,0,0,0
group_65066_size_3,65066,3,2,0,0,0,0
group_166302_size_5,166302,5,4,0,0,0,0
group_39322_size_2,39322,2,1,0,0,0,0
group_349048_size_5,349048,5,4,0,0,0,0
group_70608_size_3,70608,3,2,0,0,0,0
group_146482_size_272,146482,272,242,0,0,0,0
group_179786_size_2,179786,2,1,0,0,0,0
group_294260_size_2,294260,2,1,0,0,0,0
group_52716_size_3,52716,3,2,0,0,0,0
group_88652_size_3,88652,3,2,0,0,0,0
group_80904_size_3,80904,3,2,0,0,0,0
group_74218_size_2,74218,2,1,0,0,0,0
group_139474_size_206,139474,206,179,0,0,0,0
group_350162_size_263,350162,263,225,0,0,0,0
group_54620_size_2,54620,2,1,0,0,0,0
group_269244_size_598,269244,598,540,0,0,0,0
group_618088_size_27,618088,27,23,0,0,0,0
group_124210_size_144,124210,144,126,0,0,0,0
group_75080_size_2,75080,2,1,0,0,0,0
group_37554_size_9,37554,9,6,0,0,0,0
group_235730_size_470,235730,470,430,0,0,0,0
group_186534_size_4,186534,4,3,0,0,0,0
group_273682_size_1129,273682,1129,1026,0,0,0,0
group_174798_size_254,174798,254,220,0,0,0,0
group_184858_size_3,184858,3,2,0,0,0,0
group_450372_size_2,450372,2,1,0,0,0,0
group_188840_size_4,188840,4,3,0,0,0,0
group_472818_size_19,472818,19,17,0,0,0,0
group_59180_size_10,59180,10,8,0,0,0,0
group_58266_size_3,58266,3,2,0,0,0,0
group_214588_size_3,214588,3,2,0,0,0,0
group_415346_size_129,415346,129,109,0,0,0,0
group_132172_size_2,132172,2,1,0,0,0,0
group_164674_size_5,164674,5,3,0,0,0,0
group_257362_size_377,257362,377,335,0,0,0,0
group_142578_size_386,142578,386,345,0,0,0,0
group_72374_size_2,72374,2,1,0,0,0,0
group_243412_size_2,243412,2,1,0,0,0,0
group_391538_size_153,391538,153,137,0,0,0,0
group_176596_size_3,176596,3,2,0,0,0,0
group_282086_size_2,282086,2,1,0,0,0,0
group_171324_size_5,171324,5,4,0,0,0,0
group_144466_size_182,144466,182,162,0,0,0,0
group_585698_size_41,585698,41,36,0,0,0,0
group_171752_size_3,171752,3,2,0,0,0,0
group_63308_size_2,63308,2,1,0,0,0,0
group_183082_size_315,183082,315,285,0,0,0,0
group_40716_size_5,40716,5,4,0,0,0,0
group_230768_size_3,230768,3,2,0,0,0,0
group_136264_size_2,136264,2,1,0,0,0,0
group_291974_size_3,291974,3,2,0,0,0,0
group_251888_size_3,251888,3,2,0,0,0,0
group_321046_size_2,321046,2,1,0,0,0,0
group_77124_size_2,77124,2,1,0,0,0,0
group_303214_size_3,303214,3,2,0,0,0,0
group_123758_size_2,123758,2,1,0,0,0,0
group_173764_size_521,173764,521,462,0,0,0,0
group_72162_size_3,72162,3,2,0,0,0,0
group_330648_size_2,330648,2,1,0,0,0,0
group_65584_size_6,65584,6,5,0,0,0,0
group_234240_size_236,234240,236,214,0,0,0,0
group_461490_size_48,461490,48,37,0,0,0,0
group_44970_size_3,44970,3,2,0,0,0,0
group_208884_size_8,208884,8,6,0,0,0,0
group_105110_size_2,105110,2,1,0,0,0,0
group_455602_size_52,455602,52,46,0,0,0,0
group_184424_size_4,184424,4,2,0,0,0,0
group_69338_size_2,69338,2,1,0,0,0,0
group_84210_size_67,84210,67,54,0,0,0,0
group_192020_size_2,192020,2,1,0,0,0,0
group_60212_size_2,60212,2,1,0,0,0,0
group_206210_size_2,206210,2,1,0,0,0,0
group_167352_size_2,167352,2,1,0,0,0,0
group_271762_size_324,271762,324,286,0,0,0,0
group_97158_size_4,97158,4,3,0,0,0,0
group_27826_size_2,27826,2,1,0,0,0,0
group_99102_size_2,99102,2,1,0,0,0,0
group_203232_size_298,203232,298,267,1,0,0,0
group_81692_size_2,81692,2,1,0,0,0,0
group_96672_size_3,96672,3,2,0,0,0,0
group_295374_size_13,295374,13,10,0,0,0,0
group_115988_size_4,115988,4,3,0,0,0,0
group_393522_size_125,393522,125,115,0,0,0,0
group_87170_size_2,87170,2,1,0,0,0,0
group_395516_size_2,395516,2,1,0,0,0,0
group_107878_size_3,107878,3,2,0,0,0,0
group_314600_size_4,314600,4,3,0,0,0,0
group_162064_size_620,162064,620,553,0,0,0,0
group_461170_size_54,461170,54,46,0,0,0,0
group_237844_size_4,237844,4,3,0,0,0,0
group_69784_size_2,69784,2,1,0,0,0,0
group_58262_size_5,58262,5,4,0,0,0,0
group_242784_size_17,242784,17,13,0,0,0,0
group_272916_size_4,272916,4,3,0,0,0,0
group_68010_size_3,68010,3,2,0,0,0,0
group_206192_size_3,206192,3,2,0,0,0,0
group_58372_size_3,58372,3,2,0,0,0,0
group_235002_size_26,235002,26,21,0,0,0,0
group_156414_size_2,156414,2,1,0,0,0,0
group_144984_size_7,144984,7,6,0,0,0,0
group_208954_size_3,208954,3,2,0,0,0,0
group_100756_size_2,100756,2,1,0,0,0,0
group_228582_size_126,228582,126,111,0,0,0,0
group_107422_size_34,107422,34,29,0,0,0,0
group_375288_size_2,375288,2,1,0,0,0,0
group_121098_size_330,121098,330,287,0,0,0,0
group_427026_size_70,427026,70,64,0,0,0,0
group_213042_size_299,213042,299,261,0,0,0,0
group_281144_size_2,281144,2,1,0,0,0,0
group_415746_size_3,415746,3,2,0,0,0,0
group_371220_size_6,371220,6,4,0,0,0,0
group_158312_size_1735,158312,1735,1559,0,0,0,0
group_158530_size_3,158530,3,2,0,0,0,0
group_626974_size_3,626974,3,2,0,0,0,0
group_384482_size_2,384482,2,1,0,0,0,0
group_169520_size_2,169520,2,1,0,0,0,0
group_239762_size_343,239762,343,310,0,0,0,0
group_149930_size_86,149930,86,73,0,0,0,0
group_57360_size_2,57360,2,1,0,0,0,0
group_82166_size_2,82166,2,1,0,0,0,0
group_114812_size_3,114812,3,2,0,0,0,0
group_82854_size_3,82854,3,2,0,0,0,0
group_476776_size_84,476776,84,73,0,0,0,0
group_63564_size_3,63564,3,2,0,0,0,0
group_50470_size_2,50470,2,1,0,0,0,0
group_229348_size_4,229348,4,3,0,0,0,0
group_498798_size_2,498798,2,1,0,0,0,0
group_125832_size_2,125832,2,1,0,0,0,0
group_265634_size_4,265634,4,3,0,0,0,0
group_99546_size_5,99546,5,4,0,0,0,0
group_60466_size_215,60466,215,185,0,0,0,0
group_86888_size_3,86888,3,2,0,0,0,0
group_433906_size_79,433906,79,71,0,0,0,0
group_185218_size_4,185218,4,3,0,0,0,0
group_40920_size_3,40920,3,2,0,0,0,0
group_31762_size_3,31762,3,2,0,0,0,0
group_110284_size_3,110284,3,2,0,0,0,0
group_126006_size_2,126006,2,1,0,0,0,0
group_103066_size_2,103066,2,1,0,0,0,0
group_320610_size_3,320610,3,2,0,0,0,0
group_380520_size_208,380520,208,187,0,0,0,0
group_68178_size_44,68178,44,38,0,0,0,0
group_276706_size_4,276706,4,2,0,0,0,0
group_474650_size_2,474650,2,1,0,0,0,0
group_85670_size_3,85670,3,2,0,0,0,0
group_49614_size_618,49614,618,535,2,0,0,0
group_319782_size_2,319782,2,1,0,0,0,0
group_40452_size_2,40452,2,1,0,0,0,0
group_154338_size_2,154338,2,1,0,0,0,0
group_173980_size_70,173980,70,59,0,0,0,0
group_350564_size_2,350564,2,1,0,0,0,0
group_462242_size_2,462242,2,1,0,0,0,0
group_91098_size_2,91098,2,1,0,0,0,0
group_310740_size_2,310740,2,1,0,0,0,0
group_243720_size_3,243720,3,2,0,0,0,0
group_201052_size_5,201052,5,3,0,0,0,0
group_310264_size_25,310264,25,22,0,0,0,0
group_135882_size_2,135882,2,1,0,0,0,0
group_161954_size_3,161954,3,2,0,0,0,0
group_289936_size_2,289936,2,1,0,0,0,0
group_71904_size_2,71904,2,1,0,0,0,0
group_209638_size_2,209638,2,1,0,0,0,0
group_273428_size_2,273428,2,1,0,0,0,0
group_143572_size_3,143572,3,2,0,0,0,0
group_452396_size_2,452396,2,1,0,0,0,0
group_89456_size_3,89456,3,2,0,0,0,0
group_104908_size_3,104908,3,2,0,0,0,0
group_241384_size_3,241384,3,2,0,0,0,0
group_108644_size_3,108644,3,2,0,0,0,0
group_125034_size_3,125034,3,2,0,0,0,0
group_185268_size_2,185268,2,1,0,0,0,0
group_93282_size_3,93282,3,2,0,0,0,0
group_115372_size_6,115372,6,5,0,0,0,0
group_73298_size_39,73298,39,33,0,0,0,0
group_360018_size_239,360018,239,210,0,0,0,0
group_180072_size_3,180072,3,2,0,0,0,0
group_563890_size_2,563890,2,1,0,0,0,0
group_77906_size_58,77906,58,54,0,0,0,0
group_353778_size_199,353778,199,175,0,0,0,0
group_192944_size_2,192944,2,1,0,0,0,0
group_60348_size_1868,60348,1868,1626,0,0,0,0
group_432722_size_78,432722,78,67,0,0,0,0
group_159208_size_2,159208,2,1,0,0,0,0
group_171120_size_2,171120,2,1,0,0,0,0
group_86150_size_2,86150,2,1,0,0,0,0
group_126194_size_120,126194,120,99,0,0,0,0
group_275312_size_4,275312,4,3,0,0,0,0
group_239646_size_3,239646,3,2,0,0,0,0
group_455202_size_3,455202,3,2,0,0,0,0
group_290860_size_3,290860,3,2,0,0,0,0
group_257254_size_2,257254,2,1,0,0,0,0
group_243834_size_2,243834,2,1,0,0,0,0
group_222370_size_5,222370,5,3,0,0,0,0
group_84138_size_2,84138,2,1,0,0,0,0
group_263720_size_3,263720,3,2,0,0,0,0
group_90406_size_4,90406,4,3,0,0,0,0
group_143476_size_2,143476,2,1,0,0,0,0
group_35514_size_8,35514,8,6,0,0,0,0
group_295560_size_3,295560,3,2,0,0,0,0
group_167202_size_2,167202,2,1,0,0,0,0
group_219926_size_2,219926,2,1,0,0,0,0
group_370366_size_3,370366,3,2,0,0,0,0
group_278990_size_2,278990,2,1,0,0,0,0
group_98778_size_2,98778,2,1,0,0,0,0
group_116892_size_2,116892,2,1,0,0,0,0
group_187328_size_2,187328,2,1,0,0,0,0
group_308882_size_311,308882,311,278,0,0,0,0
group_272168_size_2,272168,2,1,0,0,0,0
group_39988_size_2,39988,2,1,0,0,0,0
group_109808_size_3,109808,3,2,0,0,0,0
group_477202_size_16,477202,16,11,0,0,0,0
group_247746_size_4,247746,4,3,0,0,0,0
group_425650_size_92,425650,92,83,0,0,0,0
group_484198_size_2,484198,2,1,0,0,0,0
group_139708_size_5,139708,5,3,0,0,0,0
group_43250_size_27,43250,27,21,0,0,0,0
group_126370_size_2,126370,2,1,0,0,0,0
group_497146_size_2,497146,2,1,0,0,0,0
group_82306_size_3,82306,3,2,0,0,0,0
group_249626_size_18,249626,18,16,0,0,0,0
group_65568_size_3,65568,3,2,0,0,0,0
group_329394_size_263,329394,263,234,0,0,0,0
group_206642_size_276,206642,276,232,0,0,0,0
group_431034_size_3,431034,3,2,0,0,0,0
group_425042_size_78,425042,78,68,0,0,0,0
group_73672_size_2,73672,2,1,0,0,0,0
group_155838_size_2,155838,2,1,0,0,0,0
group_244904_size_3,244904,3,2,0,0,0,0
group_213840_size_3,213840,3,2,0,0,0,0
group_248580_size_2,248580,2,1,0,0,0,0
group_189862_size_4,189862,4,3,0,0,0,0
group_222304_size_2,222304,2,1,0,0,0,0
group_465522_size_27,465522,27,24,0,0,0,0
group_43144_size_2,43144,2,1,0,0,0,0
group_294552_size_2,294552,2,1,0,0,0,0
group_189492_size_2,189492,2,1,0,0,0,0
group_486610_size_2,486610,2,1,0,0,0,0
group_372434_size_170,372434,170,151,0,0,0,0
group_123328_size_2,123328,2,1,0,0,0,0
group_176356_size_3,176356,3,2,0,0,0,0
group_139120_size_2,139120,2,1,0,0,0,0
group_561420_size_3,561420,3,2,0,0,0,0
group_475986_size_30,475986,30,27,0,0,0,0
group_142144_size_2,142144,2,1,0,0,0,0
group_27858_size_5,27858,5,4,0,0,0,0
group_186704_size_4,186704,4,3,0,0,0,0
group_172438_size_3,172438,3,2,0,0,0,0
group_236880_size_2,236880,2,1,0,0,0,0
group_89312_size_2,89312,2,1,0,0,0,0
group_72124_size_6,72124,6,4,0,0,0,0
group_98282_size_6,98282,6,4,0,0,0,0
group_76626_size_43,76626,43,37,0,0,0,0
group_466792_size_3,466792,3,2,0,0,0,0
group_339730_size_242,339730,242,223,0,0,0,0
group_251600_size_4,251600,4,3,0,0,0,0
group_409106_size_87,409106,87,81,0,0,0,0
group_148512_size_5,148512,5,4,0,0,0,0
group_226992_size_2,226992,2,1,0,0,0,0
group_347698_size_241,347698,241,214,0,0,0,0
group_275814_size_56,275814,56,51,0,0,0,0
group_79458_size_4,79458,4,3,0,0,0,0
group_132956_size_2,132956,2,1,0,0,0,0
group_182154_size_6,182154,6,5,0,0,0,0
group_123440_size_3,123440,3,2,0,0,0,0
group_40270_size_2,40270,2,1,0,0,0,0
group_129588_size_370,129588,370,335,0,0,0,0
group_89532_size_8,89532,8,7,0,0,0,0
group_144426_size_3,144426,3,2,0,0,0,0
group_217084_size_3,217084,3,2,0,0,0,0
group_123810_size_4,123810,4,3,0,0,0,0
group_89136_size_2,89136,2,1,0,0,0,0
group_188646_size_3,188646,3,2,0,0,0,0
group_104012_size_2,104012,2,1,0,0,0,0
group_408854_size_93,408854,93,83,0,0,0,0
group_362962_size_244,362962,244,213,0,0,0,0
group_328644_size_3,328644,3,2,0,0,0,0
group_376532_size_3,376532,3,2,0,0,0,0
group_186412_size_2,186412,2,1,0,0,0,0
group_83804_size_2,83804,2,1,0,0,0,0
group_190048_size_6,190048,6,5,0,0,0,0
group_73224_size_29,73224,29,26,0,0,0,0
group_124646_size_3,124646,3,2,0,0,0,0
group_428338_size_97,428338,97,84,0,0,0,0
group_101784_size_3,101784,3,2,0,0,0,0
group_87716_size_3,87716,3,2,0,0,0,0
group_81576_size_3,81576,3,2,0,0,0,0
group_216834_size_2,216834,2,1,0,0,0,0
group_226160_size_2,226160,2,1,0,0,0,0
group_131174_size_2,131174,2,1,0,0,0,0
group_374210_size_9,374210,9,7,0,0,0,0
group_182736_size_3,182736,3,2,0,0,0,0
group_97328_size_2,97328,2,1,0,0,0,0
group_203050_size_2,203050,2,1,0,0,0,0
group_284946_size_962,284946,962,874,1,0,0,0
group_73714_size_74,73714,74,66,0,0,0,0
group_287154_size_305,287154,305,275,0,0,0,0
group_295282_size_274,295282,274,245,0,0,0,0
group_63476_size_2,63476,2,1,0,0,0,0
group_261106_size_422,261106,422,381,0,0,0,0
group_97174_size_6,97174,6,4,0,0,0,0
group_291566_size_2,291566,2,1,0,0,0,0
group_196938_size_2,196938,2,1,0,0,0,0
group_117886_size_4,117886,4,3,0,0,0,0
group_119310_size_2,119310,2,1,0,0,0,0
group_450482_size_40,450482,40,31,0,0,0,0
group_97664_size_2,97664,2,1,0,0,0,0
group_148434_size_306,148434,306,270,0,0,0,0
group_183828_size_243,183828,243,222,0,0,0,0
group_152340_size_4,152340,4,2,0,0,0,0
group_72872_size_5,72872,5,4,0,0,0,0
group_191946_size_2,191946,2,1,0,0,0,0
group_93268_size_4,93268,4,2,0,0,0,0
group_417490_size_114,417490,114,102,0,0,0,0
group_109060_size_2,109060,2,1,0,0,0,0
group_72648_size_7,72648,7,6,0,0,0,0
group_84770_size_3,84770,3,2,0,0,0,0
group_154016_size_4,154016,4,3,0,0,0,0
group_162604_size_368,162604,368,322,0,0,0,0
group_42138_size_3,42138,3,2,0,0,0,0
group_226234_size_3,226234,3,2,0,0,0,0
group_122882_size_2,122882,2,1,0,0,0,0
group_138018_size_428,138018,428,384,0,0,0,0
group_87922_size_59,87922,59,49,0,0,0,0
group_41494_size_2,41494,2,1,0,0,0,0
group_266282_size_70,266282,70,62,0,0,0,0
group_106526_size_2,106526,2,1,0,0,0,0
group_80524_size_2,80524,2,1,0,0,0,0
group_157540_size_3,157540,3,2,0,0,0,0
group_362482_size_220,362482,220,192,0,0,0,1
group_153510_size_6,153510,6,4,0,0,0,0
group_134014_size_2,134014,2,1,0,0,0,0
group_194046_size_2,194046,2,1,0,0,0,0
group_265350_size_3,265350,3,2,0,0,0,0
group_124378_size_2,124378,2,1,0,0,0,0
group_133186_size_2,133186,2,1,0,0,0,0
group_251350_size_3,251350,3,2,0,0,0,0
group_240854_size_6,240854,6,5,0,0,0,0
group_197512_size_2,197512,2,1,0,0,0,0
group_258804_size_2,258804,2,1,0,0,0,0
group_375732_size_2,375732,2,1,0,0,0,0
group_96466_size_67,96466,67,57,0,0,0,0
group_178096_size_2,178096,2,1,0,0,0,0
group_194024_size_8,194024,8,6,0,0,0,0
group_105270_size_2,105270,2,1,0,0,0,0
group_430588_size_2,430588,2,1,0,0,0,0
group_72862_size_2,72862,2,1,0,0,0,0
group_267088_size_3,267088,3,2,0,0,0,0
group_106540_size_2,106540,2,1,0,0,0,0
group_298124_size_3,298124,3,2,0,0,0,0
group_202268_size_2,202268,2,1,0,0,0,0
group_382290_size_162,382290,162,147,0,0,0,0
group_358798_size_6,358798,6,4,0,0,0,0
group_327138_size_2,327138,2,1,0,0,0,0
group_97416_size_3,97416,3,2,0,0,0,0
group_228296_size_197,228296,197,176,0,0,0,0
group_168268_size_2,168268,2,1,0,0,0,0
group_144006_size_2,144006,2,1,0,0,0,0
group_214802_size_297,214802,297,270,0,0,0,0
group_195640_size_4,195640,4,3,0,0,0,0
group_61194_size_4,61194,4,3,0,0,0,0
group_266396_size_3,266396,3,2,0,0,0,0
group_69724_size_2,69724,2,1,0,0,0,0
group_307662_size_2,307662,2,1,0,0,0,0
group_406642_size_110,406642,110,94,0,0,0,0
group_113388_size_2,113388,2,1,0,0,0,0
group_72462_size_4,72462,4,3,0,0,0,0
group_204074_size_4,204074,4,3,0,0,0,0
group_146248_size_575,146248,575,518,0,0,0,0
group_119292_size_3,119292,3,2,0,0,0,0
group_250704_size_7,250704,7,6,0,0,0,0
group_233808_size_3,233808,3,2,0,0,0,0
group_74112_size_3,74112,3,2,0,0,0,0
group_558372_size_3,558372,3,2,0,0,0,0
group_67186_size_425,67186,425,366,0,0,0,0
group_97638_size_2,97638,2,1,0,0,0,0
group_60158_size_3,60158,3,2,0,0,0,0
group_217872_size_2,217872,2,1,0,0,0,0
group_357176_size_2,357176,2,1,0,0,0,0
group_130762_size_2,130762,2,1,0,0,0,0
group_68626_size_38,68626,38,33,0,0,0,0
group_124010_size_4,124010,4,3,0,0,0,0
group_289938_size_589,289938,589,534,1,0,0,0
group_173504_size_2,173504,2,1,0,0,0,0
group_266128_size_2,266128,2,1,0,0,0,0
group_267084_size_2,267084,2,1,0,0,0,0
group_95114_size_952,95114,952,843,0,0,0,0
group_100938_size_2,100938,2,1,0,0,0,0
group_239570_size_298,239570,298,277,0,0,0,0
group_112654_size_2,112654,2,1,0,0,0,0
group_58698_size_2,58698,2,1,0,0,0,0
group_73092_size_2,73092,2,1,0,0,0,0
group_59792_size_3,59792,3,2,0,0,0,0
group_281794_size_157,281794,157,143,1,0,0,0
group_392284_size_2,392284,2,1,0,0,0,0
group_541288_size_87,541288,87,81,0,0,0,0
group_144596_size_4,144596,4,3,0,0,0,0
group_247572_size_2,247572,2,1,0,0,0,0
group_468338_size_30,468338,30,27,0,0,0,0
group_89722_size_2,89722,2,1,0,0,0,0
group_127778_size_2,127778,2,1,0,0,0,0
group_168808_size_2,168808,2,1,0,0,0,0
group_305932_size_28,305932,28,24,0,0,0,0
group_152970_size_2,152970,2,1,0,0,0,0
group_208434_size_386,208434,386,348,0,0,0,0
group_146982_size_2,146982,2,1,0,0,0,0
group_260498_size_826,260498,826,758,0,0,0,0
group_51322_size_6,51322,6,5,0,0,0,0
group_204082_size_339,204082,339,313,0,0,0,0
group_218180_size_31,218180,31,26,0,0,0,0
group_77850_size_3,77850,3,2,0,0,0,0
group_272024_size_4,272024,4,2,0,0,0,0
group_84938_size_3,84938,3,2,0,0,0,0
group_49904_size_2,49904,2,1,0,0,0,0
group_181498_size_3,181498,3,2,0,0,0,0
group_463022_size_2,463022,2,1,0,0,0,0
group_257878_size_90,257878,90,78,0,0,0,0
group_291510_size_2,291510,2,1,0,0,0,0
group_220080_size_2,220080,2,1,0,0,0,0
group_354962_size_171,354962,171,151,0,0,0,0
group_145860_size_232,145860,232,211,0,0,0,0
group_178178_size_5,178178,5,3,0,0,0,0
group_357474_size_4,357474,4,3,0,0,0,0
group_97768_size_2,97768,2,1,0,0,0,0
group_269906_size_622,269906,622,555,0,0,0,0
group_140208_size_2,140208,2,1,0,0,0,0
group_18898_size_2,18898,2,1,0,0,0,0
group_170226_size_253,170226,253,233,0,0,0,0
group_90352_size_5,90352,5,3,0,0,0,0
group_184308_size_3,184308,3,2,0,0,0,0
group_76148_size_3,76148,3,2,0,0,0,0
group_215798_size_298,215798,298,277,0,0,0,0
group_110628_size_3,110628,3,2,0,0,0,0
group_107458_size_2,107458,2,1,0,0,0,0
group_167678_size_3,167678,3,2,0,0,0,0
group_237788_size_5,237788,5,4,0,0,0,0
group_119398_size_2,119398,2,1,0,0,0,0
group_342578_size_416,342578,416,374,0,0,0,0
group_197458_size_323,197458,323,292,0,0,0,0
group_213808_size_320,213808,320,287,0,0,0,0
group_160010_size_264,160010,264,235,0,0,0,0
group_37650_size_13,37650,13,10,0,0,0,0
group_188072_size_44,188072,44,39,0,0,0,0
group_115122_size_108,115122,108,95,0,0,0,0
group_203890_size_348,203890,348,307,0,0,0,0
group_196216_size_2,196216,2,1,0,0,0,0
group_37186_size_4,37186,4,2,0,0,0,0
group_95708_size_4,95708,4,3,0,0,0,0
group_217682_size_324,217682,324,294,0,0,0,0
group_402168_size_114,402168,114,101,0,0,0,0
group_83730_size_57,83730,57,45,0,0,0,0
group_126238_size_2,126238,2,1,0,0,0,0
group_227460_size_3,227460,3,2,0,0,0,0
group_206264_size_275,206264,275,239,0,0,0,0
group_358342_size_3,358342,3,2,0,0,0,0
group_126954_size_3,126954,3,2,0,0,0,0
group_458344_size_104,458344,104,92,0,0,0,0
group_399858_size_169,399858,169,154,0,0,0,0
group_195794_size_283,195794,283,250,0,0,0,0
group_443218_size_69,443218,69,61,0,0,0,0
